instance_id,model_name,arena,round_number,gpt5_grounded,gpt5_hallucinated,gpt5_validated
PvpTournament.RobotRumble.r15.s1000.p2.gpt-5-mini.grok-code-fast-1.250927015301__grok-code-fast-1__r2,x-ai/grok-code-fast-1,RobotRumble,2,False,True,False
PvpTournament.Halite.r15.s250.p2.gpt-5.qwen3-coder-plus-2025-09-23.251021004058.33a2fc82-66d4-434c-8d5f-90a7867cbc20-uuid__qwen3-coder-plus-2025-09-23__r10,qwen3-coder-plus-2025-09-23,Halite,10,False,False,False
PvpTournament.CoreWar.r15.s1000.p2.claude-sonnet-4-5-20250929.gpt-5-mini.251011153658__gpt-5-mini__r15,openai/gpt-5-mini,CoreWar,15,False,False,True
PvpTournament.HuskyBench.r15.s100.p2.claude-sonnet-4-5-20250929.gpt-5-mini.251018161225.7e7aff03-68b9-43b2-88a4-458cffd6b815-uuid__claude-sonnet-4-5-20250929__r3,anthropic/claude-sonnet-4-5-20250929,HuskyBench,3,False,True,False
PvpTournament.RoboCode.r15.s250.p2.gpt5.gpt5mini.251010062023__gpt5__r15,openai/gpt-5,RoboCode,15,False,False,False
PvpTournament.Halite.r15.s250.p2.gpt-5.qwen3-coder-plus-2025-09-23.251021004058.33a2fc82-66d4-434c-8d5f-90a7867cbc20-uuid__gpt-5__r10,openai/gpt-5,Halite,10,False,False,False
PvpTournament.CoreWar.r15.s1000.p2.claude-sonnet-4-20250514.gpt-5.251012132927__gpt-5__r15,openai/gpt-5,CoreWar,15,True,False,True
PvpTournament.CoreWar.r15.s1000.p2.claude-sonnet-4-5-20250929.gpt-5.251012141046__gpt-5__r2,openai/gpt-5,CoreWar,2,True,True,True
PvpTournament.Halite.r15.s250.p2.claude-sonnet-4-5-20250929.gpt-5.251021003410.a9d262ac-cd57-4c50-9156-47aae8ecca14-uuid__claude-sonnet-4-5-20250929__r3,anthropic/claude-sonnet-4-5-20250929,Halite,3,True,False,True
PvpTournament.RobotRumble.r15.s250.p2.claude-sonnet-4-20250514.gemini-2.5-pro.251013181313__gemini-2.5-pro__r10,google/gemini-2.5-pro,RobotRumble,10,True,True,False
PvpTournament.HuskyBench.r15.s100.p2.claude-sonnet-4-20250514.gpt-5.251018161309.6437309f-ed63-4b31-b263-b5c23229a509-uuid__claude-sonnet-4-20250514__r15,anthropic/claude-sonnet-4-20250514,HuskyBench,15,True,True,False
PvpTournament.RobotRumble.r15.s1000.p2.grok-code-fast-1.o3.251006053851__grok-code-fast-1__r14,x-ai/grok-code-fast-1,RobotRumble,14,False,False,False
PvpTournament.RoboCode.r15.s250.p2.claudesonnet420250514.gemini25pro.251011064436__gemini25pro__r14,google/gemini-2.5-pro,RoboCode,14,False,True,False
PvpTournament.BattleSnake.r15.s1000.p2.claude-sonnet-4-5-20250929.o3.251002185430__claude-sonnet-4-5-20250929__r5,anthropic/claude-sonnet-4-5-20250929,BattleSnake,5,True,True,False
PvpTournament.BattleSnake.r15.s1000.p2.claude-sonnet-4-5-20250929.gpt-5.251002185405__gpt-5__r1,openai/gpt-5,BattleSnake,1,False,False,False
PvpTournament.RoboCode.r15.s250.p2.claudesonnet4520250929.grokcodefast1.251011210551__grokcodefast1__r14,x-ai/grok-code-fast-1,RoboCode,14,False,True,False
PvpTournament.Halite.r15.s250.p2.claude-sonnet-4-20250514.qwen3-coder-plus-2025-09-23.251021003852.3c305b9e-8ad1-4ad2-aeeb-7165e5bc3108-uuid__qwen3-coder-plus-2025-09-23__r14,qwen3-coder-plus-2025-09-23,Halite,14,True,False,False
PvpTournament.RobotRumble.r15.s1000.p2.o3.qwen3-coder-plus-2025-09-23.251005073613__o3__r2,openai/o3,RobotRumble,2,True,False,False
PvpTournament.BattleSnake.r15.s1000.p2.claude-sonnet-4-20250514.gemini-2.5-pro.251001214747__claude-sonnet-4-20250514__r3,anthropic/claude-sonnet-4-20250514,BattleSnake,3,False,True,False
PvpTournament.CoreWar.r15.s1000.p2.claude-sonnet-4-5-20250929.qwen3-coder-plus-2025-09-23.251011052632__claude-sonnet-4-5-20250929__r15,anthropic/claude-sonnet-4-5-20250929,CoreWar,15,True,True,True
PvpTournament.RoboCode.r15.s250.p2.claudesonnet420250514.grokcodefast1.251011043653__claudesonnet420250514__r15,anthropic/claude-sonnet-4-20250514,RoboCode,15,True,True,True
PvpTournament.RoboCode.r15.s250.p2.claudesonnet420250514.o3.251011064456__o3__r3,openai/o3,RoboCode,3,False,False,False
PvpTournament.RobotRumble.r15.s1000.p2.gemini-2.5-pro.gpt-5-mini.251007055621__gpt-5-mini__r15,openai/gpt-5-mini,RobotRumble,15,False,False,False
PvpTournament.HuskyBench.r15.s100.p2.claude-sonnet-4-20250514.gemini-2.5-pro.251018161801.823d8c9d-c575-4ad3-ae06-e51cf2e6942c-uuid__gemini-2.5-pro__r3,google/gemini-2.5-pro,HuskyBench,3,True,True,False
PvpTournament.Halite.r15.s250.p2.gemini-2.5-pro.gpt-5-mini.251020210609__gpt-5-mini__r14,openai/gpt-5-mini,Halite,14,False,False,False
PvpTournament.HuskyBench.r15.s100.p2.gemini-2.5-pro.gpt-5-mini.251018161313.ca330eaa-031d-42ac-aafc-f4124ae2405e-uuid__gemini-2.5-pro__r2,google/gemini-2.5-pro,HuskyBench,2,False,True,False
PvpTournament.Halite.r15.s250.p2.claude-sonnet-4-20250514.o3.251021003548.cb0ee527-5fa2-4fd6-a836-363f73eb0d92-uuid__o3__r14,openai/o3,Halite,14,False,False,False
PvpTournament.Halite.r15.s250.p2.gpt-5.grok-code-fast-1.251021003938.ecb28946-4dea-4371-bdc7-4a0e2c807d33-uuid__gpt-5__r10,openai/gpt-5,Halite,10,False,False,False
PvpTournament.BattleSnake.r15.s1000.p2.claude-sonnet-4-5-20250929.gemini-2.5-pro.251001221517__claude-sonnet-4-5-20250929__r2,anthropic/claude-sonnet-4-5-20250929,BattleSnake,2,True,True,False
PvpTournament.BattleSnake.r15.s1000.p2.gpt-5-mini.grok-code-fast-1.250925235358__grok-code-fast-1__r15,x-ai/grok-code-fast-1,BattleSnake,15,True,True,False
PvpTournament.RoboCode.r15.s250.p2.gemini25pro.qwen3coderplus20250923.251009231036__qwen3coderplus20250923__r15,qwen3-coder-plus-2025-09-23,RoboCode,15,False,False,False
PvpTournament.Halite.r15.s250.p2.gemini-2.5-pro.gpt-5.251021004038.1eb7d541-ca63-46b7-a944-96531847f43d-uuid__gemini-2.5-pro__r10,google/gemini-2.5-pro,Halite,10,False,True,False
PvpTournament.RobotRumble.r15.s250.p2.claude-sonnet-4-20250514.o3.251013181355__claude-sonnet-4-20250514__r14,anthropic/claude-sonnet-4-20250514,RobotRumble,14,True,False,True
PvpTournament.HuskyBench.r15.s100.p2.claude-sonnet-4-20250514.gpt-5.251018161309.6437309f-ed63-4b31-b263-b5c23229a509-uuid__claude-sonnet-4-20250514__r5,anthropic/claude-sonnet-4-20250514,HuskyBench,5,True,True,False
PvpTournament.HuskyBench.r15.s100.p2.gpt-5.gpt-5-mini.251018161457.411aba93-4b9f-4919-8867-88d1750e4881-uuid__gpt-5-mini__r12,openai/gpt-5-mini,HuskyBench,12,False,False,False
PvpTournament.RoboCode.r15.s250.p2.gpt5mini.grokcodefast1.251009214932__grokcodefast1__r10,x-ai/grok-code-fast-1,RoboCode,10,False,False,False
PvpTournament.RoboCode.r15.s250.p2.claudesonnet4520250929.o3.251011064536__o3__r10,openai/o3,RoboCode,10,False,False,False
PvpTournament.RoboCode.r15.s250.p2.gpt5mini.grokcodefast1.251009214932__gpt5mini__r14,openai/gpt-5-mini,RoboCode,14,False,False,False
PvpTournament.RoboCode.r15.s250.p2.claudesonnet420250514.claudesonnet4520250929.251011064336__claudesonnet4520250929__r5,anthropic/claude-sonnet-4-5-20250929,RoboCode,5,True,False,False
PvpTournament.RobotRumble.r15.s250.p2.claude-sonnet-4-5-20250929.qwen3-coder-plus-2025-09-23.251014142521__qwen3-coder-plus-2025-09-23__r1,qwen3-coder-plus-2025-09-23,RobotRumble,1,False,False,False
PvpTournament.CoreWar.r15.s1000.p2.gemini-2.5-pro.o3.251004223226__gemini-2.5-pro__r14,google/gemini-2.5-pro,CoreWar,14,False,True,False
PvpTournament.RoboCode.r15.s250.p2.gemini25pro.qwen3coderplus20250923.251009231036__qwen3coderplus20250923__r14,qwen3-coder-plus-2025-09-23,RoboCode,14,True,True,False
PvpTournament.Halite.r15.s250.p2.claude-sonnet-4-5-20250929.o3.251020222253__claude-sonnet-4-5-20250929__r15,anthropic/claude-sonnet-4-5-20250929,Halite,15,True,False,False
PvpTournament.CoreWar.r15.s1000.p2.claude-sonnet-4-20250514.grok-code-fast-1.251012070059__grok-code-fast-1__r3,x-ai/grok-code-fast-1,CoreWar,3,True,False,False
PvpTournament.CoreWar.r15.s1000.p2.o3.qwen3-coder-plus-2025-09-23.251004065118__qwen3-coder-plus-2025-09-23__r15,qwen3-coder-plus-2025-09-23,CoreWar,15,False,False,False
PvpTournament.RobotRumble.r15.s250.p2.claude-sonnet-4-5-20250929.o3.251014142551__claude-sonnet-4-5-20250929__r5,anthropic/claude-sonnet-4-5-20250929,RobotRumble,5,True,True,True
PvpTournament.HuskyBench.r15.s100.p2.o3.qwen3-coder-plus-2025-09-23.251020231302.614faf82-2aea-465d-8545-8c129025865e-uuid__qwen3-coder-plus-2025-09-23__r5,qwen3-coder-plus-2025-09-23,HuskyBench,5,True,False,False
PvpTournament.RoboCode.r15.s250.p2.o3.qwen3coderplus20250923.251010062152__qwen3coderplus20250923__r15,qwen3-coder-plus-2025-09-23,RoboCode,15,False,True,False
PvpTournament.BattleSnake.r15.s1000.p2.gpt-5.qwen3-coder-plus-2025-09-23.251003051526__qwen3-coder-plus-2025-09-23__r12,qwen3-coder-plus-2025-09-23,BattleSnake,12,False,True,False
PvpTournament.HuskyBench.r15.s100.p2.claude-sonnet-4-5-20250929.gpt-5.251018161108.d06c0dc7-a736-4f36-8d5e-6ea15a1da466-uuid__gpt-5__r1,openai/gpt-5,HuskyBench,1,True,False,True
PvpTournament.Halite.r15.s250.p2.grok-code-fast-1.qwen3-coder-plus-2025-09-23.251021004006.c478697e-70c6-4941-96c1-f709c3237b2b-uuid__grok-code-fast-1__r3,x-ai/grok-code-fast-1,Halite,3,True,True,False
PvpTournament.Halite.r15.s250.p2.claude-sonnet-4-20250514.grok-code-fast-1.251021003822.1a1f7d1e-a1d0-45d6-9716-851e5ede258e-uuid__claude-sonnet-4-20250514__r1,anthropic/claude-sonnet-4-20250514,Halite,1,False,True,False
PvpTournament.Halite.r15.s250.p2.grok-code-fast-1.qwen3-coder-plus-2025-09-23.251021004006.c478697e-70c6-4941-96c1-f709c3237b2b-uuid__grok-code-fast-1__r14,x-ai/grok-code-fast-1,Halite,14,False,False,False
PvpTournament.HuskyBench.r15.s100.p2.claude-sonnet-4-20250514.grok-code-fast-1.251018161914.9a2e6f3f-941a-4c59-9844-2fe545d8cee1-uuid__grok-code-fast-1__r14,x-ai/grok-code-fast-1,HuskyBench,14,False,False,False
PvpTournament.HuskyBench.r15.s100.p2.gpt-5-mini.o3.251018161234.0a515396-1871-45a8-93c1-ab702a91130b-uuid__o3__r10,openai/o3,HuskyBench,10,True,True,False
PvpTournament.BattleSnake.r15.s1000.p2.gemini-2.5-pro.gpt-5-mini.250927062907__gemini-2.5-pro__r15,google/gemini-2.5-pro,BattleSnake,15,False,True,False
PvpTournament.RobotRumble.r15.s1000.p2.gpt-5-mini.qwen3-coder-plus-2025-09-23.251005131453__gpt-5-mini__r10,openai/gpt-5-mini,RobotRumble,10,True,True,False
PvpTournament.CoreWar.r15.s1000.p2.claude-sonnet-4-5-20250929.o3.251011155657__o3__r14,openai/o3,CoreWar,14,True,True,True
PvpTournament.CoreWar.r15.s1000.p2.claude-sonnet-4-5-20250929.gpt-5-mini.251011153658__gpt-5-mini__r10,openai/gpt-5-mini,CoreWar,10,True,False,True
PvpTournament.RoboCode.r15.s250.p2.claudesonnet420250514.gpt5.251011192624__gpt5__r2,openai/gpt-5,RoboCode,2,False,False,False
PvpTournament.RobotRumble.r15.s1000.p2.gpt-5.o3.251006061742__o3__r12,openai/o3,RobotRumble,12,True,False,True
PvpTournament.CoreWar.r15.s1000.p2.claude-sonnet-4-20250514.grok-code-fast-1.251012070059__grok-code-fast-1__r1,x-ai/grok-code-fast-1,CoreWar,1,False,True,False
PvpTournament.BattleSnake.r15.s1000.p2.grok-code-fast-1.o3.250928201819__grok-code-fast-1__r2,x-ai/grok-code-fast-1,BattleSnake,2,False,False,False
PvpTournament.BattleSnake.r15.s1000.p2.gpt-5-mini.o3.250928202259__o3__r2,openai/o3,BattleSnake,2,False,False,False
